"id","login","imie","nazwisko","department_id","status"
22,"djanik","Daniel","Janik",7,"nieaktywny"
42,"pmarcz","Piotr","Marczak ",3,"aktywny"
43,"dchmie","Damian","Chmiel ",6,"aktywny"
44,"apiąte","Arkadiusz","Piątek",8,"aktywny"
63,"jsawic","Julia","Sawicka",4,"aktywny"
62,"iwróbl","Iwona","Wróblewska",4,"aktywny"
21,"isikor","Izabela","Sikorska ",5,"aktywny"
82,"kkubic","Krystian","Kubicki",8,"aktywny"
222,"kmicha","Kinga","Michalak ",3,"aktywny"
243,"askiba","Artur","Skiba",10,"nieaktywny"
244,"mbaran","Mateusz","Baranowski",6,"aktywny"
376,"emałec","Elżbieta","Małecka",4,"aktywny"
377,"wpająk","Weronika","Pająk",2,"aktywny"
378,"lkazim","Leszek","Kazimierczak",9,"aktywny"
379,"mchrza","Monika","Chrzanowska",8,"aktywny"
380,"jmicha","Justyna","Michalska",8,"aktywny"
381,"pżukow","Patrycja","Żukowska",5,"aktywny"
382,"awoźni","Agata","Woźniak",9,"aktywny"
383,"dkołod","Dariusz","Kołodziejczyk ",6,"aktywny"
384,"kmarci","Kamila","Marciniak",2,"aktywny"
386,"kwitko","Kinga","Witkowska",6,"nieaktywny"
387,"tbrzez","Tomasz","Brzeziński",4,"nieaktywny"
388,"mwójci","Marta","Wójcik",9,"aktywny"
389,"tmajew","Tomasz","Majewski",9,"aktywny"
390,"rpolak","Ryszard","Polak",1,"aktywny"
391,"mskowr","Mariusz","Skowroński",3,"aktywny"
392,"djanko","Dariusz","Jankowski",1,"aktywny"
393,"jwesoł","Janusz","Wesołowski",6,"aktywny"
395,"zchmie","Zbigniew","Chmiel ",3,"aktywny"
397,"mmicha","Magdalena","Michalska",9,"aktywny"
398,"ujabło","Urszula","Jabłońska",3,"nieaktywny"
399,"mgrzyb","Marta","Grzybowska",6,"aktywny"
400,"zjasiń","Zbigniew","Jasiński",10,"nieaktywny"
401,"idudek","Iwona","Dudek",7,"nieaktywny"
402,"awiecz","Arkadiusz","Wieczorek",6,"nieaktywny"
403,"mkaźmi","Mariusz","Kaźmierczak",2,"aktywny"
404,"kkałuż","Krystian","Kałuża ",7,"aktywny"
406,"mdąbro","Marek","Dąbrowski",5,"nieaktywny"
407,"iadamc","Igor","Adamczak",3,"nieaktywny"
142,"mkurow","Monika","Kurowska",6,"aktywny"
182,"pchmie","Paulina","Chmielewska",8,"aktywny"
282,"kkowal","Kacper","Kowalski",7,"aktywny"
283,"wmikoł","Wioletta","Mikołajczyk",3,"aktywny"
284,"aborow","Adrian","Borowski",6,"nieaktywny"
285,"kcieśl","Kamil","Cieślik ",8,"aktywny"
287,"mmróz","Mirosław","Mróz",4,"aktywny"
